phrase,tf,df,ngram,char_len,is_protected,noise_penalty,completeness_penalty,base_quality,title_df,claims_df,title_ratio,claims_ratio,title_boost,claims_support_score,support_penalty,final_score,drop_flag,drop_reason,generic_penalty,cleaned_score
수지 조성물,25,10,2,5,True,0.0,0.0,4.5,9,10,0.9,1.0,1.62,1.3333,0.0,7.5106,True,fragment_like,0.0,7.5106
전지,71,18,1,2,True,0.0,0.0,3.95,17,18,0.9444,1.0,1.7333,1.5,0.0,7.23,True,short_unigram,1.8,5.430000000000001
조성물,110,45,1,3,True,0.0,0.0,4.2,33,45,0.7333,1.0,1.48,1.5,0.0,7.176,False,,2.1,5.0760000000000005
배터리,43,12,1,3,True,0.0,0.0,3.95,10,12,0.8333,1.0,1.6,1.4,0.0,6.99,False,,1.8,5.19
반도체,97,22,1,3,True,0.0,0.0,4.2,14,16,0.6364,0.7273,1.3637,1.2273,0.0,6.8183,False,,0.0,6.8183
수지 조성,26,10,2,4,False,0.0,0.0,3.7,9,10,0.9,1.0,1.62,1.3333,0.0,6.7106,True,fragment_like,0.0,6.7106
수지,49,16,1,2,False,0.0,0.0,3.4,11,16,0.6875,1.0,1.425,1.5,0.0,6.31,True,short_unigram,1.8,4.51
컴퓨터,27,15,1,3,False,0.0,0.0,3.4,10,14,0.6667,0.9333,1.4,1.4,0.0,6.2,False,,1.8,4.4
선박,39,10,1,2,False,0.0,0.0,3.4,9,8,0.9,0.8,1.62,1.0667,0.0,6.1974,True,short_unigram,1.8,4.3974
프로그램,20,16,1,4,False,0.0,0.0,3.4,12,13,0.75,0.8125,1.5,1.2458,0.0,6.1966,False,,1.6,4.5966000000000005
리튬,28,10,1,2,False,0.0,0.0,3.4,8,10,0.8,1.0,1.44,1.3333,0.0,6.1946,False,,0.0,6.1946
디바이스,54,23,1,4,False,0.0,0.0,3.4,14,20,0.6087,0.8696,1.3304,1.3696,0.0,6.0922,False,,1.9000000000000001,4.1922
차량,45,18,1,2,False,0.0,0.0,3.4,10,17,0.5556,0.9444,1.2667,1.4444,0.0,6.0756,True,short_unigram,1.8,4.2756
반도체 장치,21,8,2,5,True,0.5,0.0,3.55,7,6,0.875,0.75,1.47,0.95,0.0,6.074,False,,0.0,6.074
