doc_id,phrase_original_in_doc,phrase_norm,concept_id,concept_label
1,프레임,프레임,C0002,프레임
1,배터리,배터리,C0015,배터리
2,알루미늄,알루미늄,C0025,알루미늄
2,알루미늄 합금,알루미늄 합금,C0025,알루미늄
3,베이스,베이스,C0018,베이스
3,카트리지,카트리지,C0087,카트리지
3,프로그램,프로그램,C0008,프로그램
3,혼합물,혼합물,C0058,혼합물
5,디바이스,디바이스,C0003,디바이스
5,포토레지스트,포토레지스트,C0071,포토레지스트
6,알루미늄,알루미늄,C0025,알루미늄
6,폴리머,폴리머,C0074,폴리머
7,비디오,비디오,C0080,비디오
7,프로세서,프로세서,C0006,프로세서
7,메모리,메모리,C0007,메모리
8,어셈블리,어셈블리,C0031,어셈블리
8,파일럿,파일럿,C0108,파일럿
10,에어로,에어로,C0092,에어로
12,촉매,촉매,C0021,촉매
12,산화물,산화물,C0036,산화물
14,열처리,열처리,C0062,열처리
14,탄소,탄소,C0013,탄소
14,플라즈마,플라즈마,C0029,플라즈마
14,에너지,에너지,C0011,에너지
15,자동차,자동차,C0057,자동차
15,베이스,베이스,C0018,베이스
15,매트릭스,매트릭스,C0075,매트릭스
16,디바이스,디바이스,C0003,디바이스
16,디지털 변환,디지털 변환,C0048,디지털
16,프레임,프레임,C0002,프레임
16,이미지 센서,이미지 센서,C0005,이미지
16,이미지,이미지,C0005,이미지
16,디지털,디지털,C0048,디지털
17,디바이스,디바이스,C0003,디바이스
18,가이드,가이드,C0022,가이드
18,케이스,케이스,C0042,케이스
19,컴퓨터 프로그램,컴퓨터 프로그램,C0023,컴퓨터 프로그램
19,프로그램 제품,프로그램 제품,C0070,프로그램 제품
19,포인트,포인트,C0044,포인트
19,컴퓨터,컴퓨터,C0010,컴퓨터
19,프로세서,프로세서,C0006,프로세서
19,프로그램,프로그램,C0008,프로그램
20,억제제,억제제,C0050,억제제
20,조성물,조성물,C0001,조성물
21,유전자,유전자,C0030,유전자
23,실시간,실시간,C0068,실시간
23,콘텐츠,콘텐츠,C0019,콘텐츠
25,디스플레이,디스플레이,C0014,디스플레이
25,프로세서,프로세서,C0006,프로세서
25,메모리,메모리,C0007,메모리
25,콘텐츠,콘텐츠,C0019,콘텐츠
27,디지털 트윈,디지털 트윈,C0102,디지털 트윈
27,디지털,디지털,C0048,디지털
27,컴퓨팅,컴퓨팅,C0061,컴퓨팅
28,테스트,테스트,C0038,테스트
28,테스트 코드,테스트 코드,C0038,테스트
29,단백질,단백질,C0035,단백질
30,단섬유,단섬유,C0100,단섬유
32,레이저,레이저,C0024,레이저
33,스트림,스트림,C0034,스트림
33,인코딩,인코딩,C0046,인코딩
33,콘텐츠,콘텐츠,C0019,콘텐츠
33,파라미터,파라미터,C0027,파라미터
33,이미지,이미지,C0005,이미지
35,컴퓨터 프로그램,컴퓨터 프로그램,C0023,컴퓨터 프로그램
35,카운터,카운터,C0089,카운터
35,컴퓨터,컴퓨터,C0010,컴퓨터
35,프로그램,프로그램,C0008,프로그램
35,모니터링,모니터링,C0066,모니터링
35,이벤트,이벤트,C0064,이벤트
37,알루미늄,알루미늄,C0025,알루미늄
37,자외선,자외선,C0073,자외선
37,산화물,산화물,C0036,산화물
38,열처리,열처리,C0062,열처리
38,반도체 장치,반도체 장치,C0028,반도체 장치
38,반도체,반도체,C0004,반도체
39,컴퓨팅,컴퓨팅,C0061,컴퓨팅
40,알루미늄,알루미늄,C0025,알루미늄
40,반도체 장치,반도체 장치,C0028,반도체 장치
40,산화물,산화물,C0036,산화물
40,반도체,반도체,C0004,반도체
40,실리콘,실리콘,C0026,실리콘
41,테스트,테스트,C0038,테스트
41,애플리케이션,애플리케이션,C0067,애플리케이션
41,텍스트,텍스트,C0040,텍스트
41,테스트 코드,테스트 코드,C0038,테스트
