doc_id,phrase_original_in_doc,phrase_canonical,topic_id,topic_label,concept_id,is_outlier_topic
1,배터리,배터리,16,배터리,BT0018,False
2,알루미늄,알루미늄,10,알루미늄 합금,BT0003,False
2,알루미늄 합금,알루미늄 합금,10,알루미늄 합금,BT0003,False
3,카트리지,카트리지,1,조성물 | 프로세서 | 촉매,BT0001,False
3,혼합물,혼합물,1,조성물 | 프로세서 | 촉매,BT0001,False
5,포토레지스트,포토레지스트,1,조성물 | 프로세서 | 촉매,BT0001,False
6,알루미늄,알루미늄,10,알루미늄 합금,BT0003,False
6,폴리머,폴리머,2,접착제 | 플라스틱 | 폴리머,BT0009,False
7,비디오,비디오,7,이미지 센서,BT0005,False
7,프로세서,프로세서,1,조성물 | 프로세서 | 촉매,BT0001,False
7,메모리,메모리,3,메모리 | 인코딩,BT0012,False
8,어셈블리,어셈블리,1,조성물 | 프로세서 | 촉매,BT0001,False
8,파일럿,파일럿,24,레이트 | 파일럿 | AAV,BT0010,False
10,에어로,에어로,1,조성물 | 프로세서 | 촉매,BT0001,False
12,촉매,촉매,1,조성물 | 프로세서 | 촉매,BT0001,False
12,산화물,산화물,10,알루미늄 합금,BT0003,False
14,열처리,열처리,0,RF 에너지 | 에너지 발생,BT0006,False
14,탄소,탄소,23,탄소,BT0017,False
14,플라즈마,플라즈마,1,조성물 | 프로세서 | 촉매,BT0001,False
14,에너지,에너지,0,RF 에너지 | 에너지 발생,BT0006,False
15,자동차,자동차,26,자동차 | 드라이버,BT0013,False
15,매트릭스,매트릭스,1,조성물 | 프로세서 | 촉매,BT0001,False
16,디지털 변환,디지털 변환,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
16,이미지 센서,이미지 센서,7,이미지 센서,BT0005,False
16,이미지,이미지,7,이미지 센서,BT0005,False
16,디지털,디지털,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
19,컴퓨터 프로그램,컴퓨터 프로그램,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
19,프로그램 제품,프로그램 제품,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
19,포인트,포인트,1,조성물 | 프로세서 | 촉매,BT0001,False
19,컴퓨터,컴퓨터,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
19,프로세서,프로세서,1,조성물 | 프로세서 | 촉매,BT0001,False
20,억제제,억제제,1,조성물 | 프로세서 | 촉매,BT0001,False
20,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
21,유전자,유전자,21,유전자,BT0020,False
23,실시간,실시간,1,조성물 | 프로세서 | 촉매,BT0001,False
25,디스플레이,디스플레이,1,조성물 | 프로세서 | 촉매,BT0001,False
25,프로세서,프로세서,1,조성물 | 프로세서 | 촉매,BT0001,False
25,메모리,메모리,3,메모리 | 인코딩,BT0012,False
27,디지털 트윈,디지털 트윈,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
27,디지털,디지털,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
27,컴퓨팅,컴퓨팅,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
28,테스트,테스트,11,테스트 코드,BT0015,False
28,테스트 코드,테스트 코드,11,테스트 코드,BT0015,False
29,단백질,단백질,14,단백질,BT0021,False
30,단섬유,단섬유,8,케이블 | 단섬유 | 커넥터,BT0011,False
32,레이저,레이저,9,레이저 | 방사선 | 자외선,BT0008,False
33,스트림,스트림,1,조성물 | 프로세서 | 촉매,BT0001,False
33,인코딩,인코딩,3,메모리 | 인코딩,BT0012,False
33,파라미터,파라미터,1,조성물 | 프로세서 | 촉매,BT0001,False
33,이미지,이미지,7,이미지 센서,BT0005,False
35,컴퓨터 프로그램,컴퓨터 프로그램,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
35,카운터,카운터,1,조성물 | 프로세서 | 촉매,BT0001,False
35,컴퓨터,컴퓨터,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
35,모니터링,모니터링,18,모니터링 시스템,BT0014,False
35,이벤트,이벤트,1,조성물 | 프로세서 | 촉매,BT0001,False
37,알루미늄,알루미늄,10,알루미늄 합금,BT0003,False
37,자외선,자외선,9,레이저 | 방사선 | 자외선,BT0008,False
37,산화물,산화물,10,알루미늄 합금,BT0003,False
38,열처리,열처리,0,RF 에너지 | 에너지 발생,BT0006,False
38,반도체 장치,반도체 장치,5,반도체 장치 | 반도체 디바이스,BT0004,False
38,반도체,반도체,5,반도체 장치 | 반도체 디바이스,BT0004,False
