phrase_original,phrase_canonical,representative_phrase,df,tf,cleaned_score,canonical_score_proxy,doc_text,phrase_quality_score,is_meaningful_phrase,doc_index,topic_id,is_outlier_topic,topic_label,concept_id
초음파 발생,초음파 발생,초음파 발생,2,8,4.5207,4.5207,초음파 발생,5.800000000000001,True,0,27,False,초음파 발생 | 전자파 차폐,BT0007
디지털 변환,디지털 변환,디지털 변환,2,5,4.3207,4.3207,디지털 변환,5.800000000000001,True,1,4,False,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002
디지털 트윈,디지털 트윈,디지털 트윈,2,5,4.3207,4.3207,디지털 트윈,5.800000000000001,True,2,4,False,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002
알루미늄 합금,알루미늄 합금,알루미늄 합금,2,4,4.2621,4.2621,알루미늄 합금,5.800000000000001,True,3,10,False,알루미늄 합금,BT0003
이미지 센서,이미지 센서,이미지 센서,3,7,3.5737,3.5737,이미지 센서,5.800000000000001,True,4,7,False,이미지 센서,BT0005
포토레지스트,포토레지스트,포토레지스트,5,7,3.7317,3.7317,포토레지스트,4.6000000000000005,True,5,1,False,조성물 | 프로세서 | 촉매,BT0001
포토레지스트 조성물,포토레지스트 조성물,포토레지스트 조성물,3,4,3.587,3.587,포토레지스트 조성물,4.3999999999999995,True,6,22,False,포토레지스트 조성물,BT0016
반도체,반도체,반도체,22,97,6.8183,6.8183,반도체,3.9000000000000004,True,7,5,False,반도체 장치 | 반도체 디바이스,BT0004
리튬,리튬,리튬,10,28,6.1946,6.1946,리튬,3.9000000000000004,True,8,10,False,알루미늄 합금,BT0003
디지털,디지털,디지털,6,24,5.782,5.782,디지털,3.9000000000000004,True,9,4,False,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002
촉매,촉매,촉매,10,29,5.656,5.656,촉매,3.9000000000000004,True,10,1,False,조성물 | 프로세서 | 촉매,BT0001
이미지,이미지,이미지,21,88,5.4053,5.4053,이미지,3.9000000000000004,True,11,7,False,이미지 센서,BT0005
양극,양극,양극,3,16,5.2257,5.2257,양극,3.9000000000000004,True,12,1,False,조성물 | 프로세서 | 촉매,BT0001
배터리,배터리,배터리,12,43,5.19,5.19,배터리,3.9000000000000004,True,13,16,False,배터리,BT0018
음극,음극,음극,3,10,4.8257,4.8257,음극,3.9000000000000004,True,14,1,False,조성물 | 프로세서 | 촉매,BT0001
실리콘,실리콘,실리콘,9,26,4.5978,4.5978,실리콘,3.9000000000000004,True,15,5,False,반도체 장치 | 반도체 디바이스,BT0004
탄소,탄소,탄소,14,30,4.5879,4.5879,탄소,3.9000000000000004,True,16,23,False,탄소,BT0017
초음파,초음파,초음파,4,12,4.5026,4.5026,초음파,3.9000000000000004,True,17,1,False,조성물 | 프로세서 | 촉매,BT0001
복합체,복합체,복합체,3,8,4.4443,4.4443,복합체,3.9000000000000004,True,18,1,False,조성물 | 프로세서 | 촉매,BT0001
전해질,전해질,전해질,6,15,4.045999999999999,4.045999999999999,전해질,3.9000000000000004,True,19,1,False,조성물 | 프로세서 | 촉매,BT0001
열처리,열처리,열처리,6,13,3.8887,3.8887,열처리,3.9000000000000004,True,20,0,False,RF 에너지 | 에너지 발생,BT0006
트랜지스터,트랜지스터,트랜지스터,6,26,3.75,3.75,트랜지스터,3.9000000000000004,True,21,5,False,반도체 장치 | 반도체 디바이스,BT0004
반도체 장치,반도체 장치,반도체 장치,8,21,6.074,6.074,반도체 장치,3.8,True,22,5,False,반도체 장치 | 반도체 디바이스,BT0004
반도체 디바이스,반도체 디바이스,반도체 디바이스,2,10,4.2353,4.2353,반도체 디바이스,3.8,True,23,5,False,반도체 장치 | 반도체 디바이스,BT0004
데이터 유닛,데이터 유닛,데이터 유닛,3,8,3.6403,3.6403,데이터 유닛,3.8,True,24,15,False,데이터 유닛,BT0019
RF 에너지,RF 에너지,RF 에너지,2,7,5.1541,5.1541,RF 에너지,3.5,True,25,0,False,RF 에너지 | 에너지 발생,BT0006
사용자 단말,사용자 단말,사용자 단말,8,21,4.764,4.764,사용자 단말,3.3,True,26,1,False,조성물 | 프로세서 | 촉매,BT0001
에너지 발생,에너지 발생,에너지 발생,2,6,4.3874,4.3874,에너지 발생,3.3,True,27,0,False,RF 에너지 | 에너지 발생,BT0006
윤활유 조성,윤활유 조성,윤활유 조성,2,4,4.2541,4.2541,윤활유 조성,3.3,True,28,1,False,조성물 | 프로세서 | 촉매,BT0001
컴퓨터 판독,컴퓨터 판독,컴퓨터 판독,2,2,4.1207,4.1207,컴퓨터 판독,3.3,True,29,4,False,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002
전자파 차폐,전자파 차폐,전자파 차폐,2,5,3.8939,3.8939,전자파 차폐,3.3,True,30,27,False,초음파 발생 | 전자파 차폐,BT0007
나트륨 이온,나트륨 이온,나트륨 이온,2,8,3.7287,3.7287,나트륨 이온,3.3,True,31,10,False,알루미늄 합금,BT0003
정전기 방전,정전기 방전,정전기 방전,2,5,3.5287,3.5287,정전기 방전,3.3,True,32,1,False,조성물 | 프로세서 | 촉매,BT0001
컴퓨터 구현,컴퓨터 구현,컴퓨터 구현,3,6,3.507,3.507,컴퓨터 구현,3.3,True,33,4,False,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002
플라즈마,플라즈마,플라즈마,8,25,5.7254,5.7254,플라즈마,1.4,True,34,1,False,조성물 | 프로세서 | 촉매,BT0001
메모리,메모리,메모리,17,47,5.3364,5.3364,메모리,1.4,True,35,3,False,메모리 | 인코딩,BT0012
에너지,에너지,에너지,14,34,5.1123,5.1123,에너지,1.4,True,36,0,False,RF 에너지 | 에너지 발생,BT0006
유전자,유전자,유전자,8,23,5.0946,5.0946,유전자,1.4,True,37,21,False,유전자,BT0020
레이저,레이저,레이저,9,46,5.0618,5.0618,레이저,1.4,True,38,9,False,레이저 | 방사선 | 자외선,BT0008
접착제,접착제,접착제,6,16,5.0247,5.0247,접착제,1.4,True,39,2,False,접착제 | 플라스틱 | 폴리머,BT0009
