doc_id,phrase_original_in_doc,phrase_canonical,is_outlier_topic,topic_id,topic_label,concept_id
1,배터리,배터리,False,16,배터리,BT0017
2,알루미늄,알루미늄,False,10,리튬,BT0011
2,알루미늄 합금,알루미늄 합금,False,10,리튬,BT0011
3,카트리지,카트리지,False,1,조성물,BT0002
3,혼합물,혼합물,False,1,조성물,BT0002
5,포토레지스트,포토레지스트,False,1,조성물,BT0002
6,알루미늄,알루미늄,False,10,리튬,BT0011
6,폴리머,폴리머,False,2,접착제,BT0003
7,비디오,비디오,False,7,이미지,BT0008
7,프로세서,프로세서,False,1,조성물,BT0002
7,메모리,메모리,False,3,메모리,BT0004
8,어셈블리,어셈블리,False,1,조성물,BT0002
8,파일럿,파일럿,False,24,레이트,BT0025
10,에어로,에어로,False,1,조성물,BT0002
12,촉매,촉매,False,1,조성물,BT0002
12,산화물,산화물,False,10,리튬,BT0011
14,열처리,열처리,False,0,에너지,BT0001
14,탄소,탄소,False,23,탄소,BT0024
14,플라즈마,플라즈마,False,1,조성물,BT0002
14,에너지,에너지,False,0,에너지,BT0001
15,자동차,자동차,False,26,자동차,BT0027
15,매트릭스,매트릭스,False,1,조성물,BT0002
16,디지털 변환,디지털 변환,False,4,컴퓨터,BT0005
16,이미지 센서,이미지 센서,False,7,이미지,BT0008
16,이미지,이미지,False,7,이미지,BT0008
16,디지털,디지털,False,4,컴퓨터,BT0005
19,컴퓨터 프로그램,컴퓨터 프로그램,False,4,컴퓨터,BT0005
19,프로그램 제품,프로그램 제품,False,4,컴퓨터,BT0005
19,포인트,포인트,False,1,조성물,BT0002
19,컴퓨터,컴퓨터,False,4,컴퓨터,BT0005
19,프로세서,프로세서,False,1,조성물,BT0002
20,억제제,억제제,False,1,조성물,BT0002
20,조성물,조성물,False,1,조성물,BT0002
21,유전자,유전자,False,21,유전자,BT0022
23,실시간,실시간,False,1,조성물,BT0002
25,디스플레이,디스플레이,False,1,조성물,BT0002
25,프로세서,프로세서,False,1,조성물,BT0002
25,메모리,메모리,False,3,메모리,BT0004
27,디지털 트윈,디지털 트윈,False,4,컴퓨터,BT0005
