doc_id,phrase_original_in_doc,phrase_canonical,topic_id,topic_label,concept_id,is_outlier_topic
1,프레임,프레임,0,디지털 | 전해질 | 리튬,BT0001,False
1,배터리,배터리,1,배터리 | 열처리 | 에너지,BT0003,False
2,알루미늄,알루미늄,0,디지털 | 전해질 | 리튬,BT0001,False
2,알루미늄 합금,알루미늄 합금,0,디지털 | 전해질 | 리튬,BT0001,False
3,베이스,베이스,0,디지털 | 전해질 | 리튬,BT0001,False
3,카트리지,카트리지,0,디지털 | 전해질 | 리튬,BT0001,False
3,프로그램,프로그램,0,디지털 | 전해질 | 리튬,BT0001,False
3,혼합물,혼합물,0,디지털 | 전해질 | 리튬,BT0001,False
5,디바이스,디바이스,0,디지털 | 전해질 | 리튬,BT0001,False
5,포토레지스트,포토레지스트,0,디지털 | 전해질 | 리튬,BT0001,False
6,알루미늄,알루미늄,0,디지털 | 전해질 | 리튬,BT0001,False
6,폴리머,폴리머,0,디지털 | 전해질 | 리튬,BT0001,False
7,비디오,비디오,10,이미지 | 센서 | 카메라,BT0004,False
7,프로세서,프로세서,0,디지털 | 전해질 | 리튬,BT0001,False
7,메모리,메모리,0,디지털 | 전해질 | 리튬,BT0001,False
8,어셈블리,어셈블리,0,디지털 | 전해질 | 리튬,BT0001,False
8,파일럿,파일럿,0,디지털 | 전해질 | 리튬,BT0001,False
10,에어로,에어로,0,디지털 | 전해질 | 리튬,BT0001,False
12,촉매,촉매,0,디지털 | 전해질 | 리튬,BT0001,False
12,산화물,산화물,0,디지털 | 전해질 | 리튬,BT0001,False
14,열처리,열처리,1,배터리 | 열처리 | 에너지,BT0003,False
14,탄소,탄소,5,탄소,BT0009,False
14,플라즈마,플라즈마,0,디지털 | 전해질 | 리튬,BT0001,False
14,에너지,에너지,1,배터리 | 열처리 | 에너지,BT0003,False
15,자동차,자동차,0,디지털 | 전해질 | 리튬,BT0001,False
15,베이스,베이스,0,디지털 | 전해질 | 리튬,BT0001,False
15,매트릭스,매트릭스,0,디지털 | 전해질 | 리튬,BT0001,False
16,디바이스,디바이스,0,디지털 | 전해질 | 리튬,BT0001,False
16,디지털 변환,디지털 변환,0,디지털 | 전해질 | 리튬,BT0001,False
16,프레임,프레임,0,디지털 | 전해질 | 리튬,BT0001,False
16,이미지 센서,이미지 센서,10,이미지 | 센서 | 카메라,BT0004,False
16,이미지,이미지,10,이미지 | 센서 | 카메라,BT0004,False
16,디지털,디지털,0,디지털 | 전해질 | 리튬,BT0001,False
17,디바이스,디바이스,0,디지털 | 전해질 | 리튬,BT0001,False
18,가이드,가이드,0,디지털 | 전해질 | 리튬,BT0001,False
18,케이스,케이스,0,디지털 | 전해질 | 리튬,BT0001,False
