phrase,tf,df,ngram,char_len,is_protected,noise_penalty,completeness_penalty,base_quality,title_df,claims_df,title_ratio,claims_ratio,title_boost,claims_support_score,support_penalty,final_score,drop_flag,drop_reason,generic_penalty,cleaned_score,phrase_original,phrase_canonical,representative_phrase,canonical_family_size,canonical_df_proxy,canonical_score_proxy
반도체,97,22,1,3,True,0.0,0.0,4.2,14,16,0.6364,0.7273,1.3637,1.2273,0.0,6.8183,False,,0.0,6.8183,반도체,반도체,반도체,1,22,6.8183
리튬,28,10,1,2,False,0.0,0.0,3.4,8,10,0.8,1.0,1.44,1.3333,0.0,6.1946,False,,0.0,6.1946,리튬,리튬,리튬,1,10,6.1946
반도체 장치,21,8,2,5,True,0.5,0.0,3.55,7,6,0.875,0.75,1.47,0.95,0.0,6.074,False,,0.0,6.074,반도체 장치,반도체 장치,반도체 장치,1,8,6.074
테스트,45,7,1,3,False,0.0,0.0,3.075,7,7,1.0,1.0,1.62,1.2333,0.0,6.0056,False,,0.0,6.0056,테스트,테스트,테스트,1,7,6.0056
디지털,24,6,1,3,False,0.0,0.0,2.95,6,6,1.0,1.0,1.56,1.2,0.0,5.782,False,,0.0,5.782,디지털,디지털,디지털,1,6,5.782
플라즈마,25,8,1,4,False,0.0,0.0,3.2,6,8,0.75,1.0,1.26,1.2667,0.0,5.7254,False,,0.0,5.7254,플라즈마,플라즈마,플라즈마,1,8,5.7254
촉매,29,10,1,2,False,0.0,0.0,3.4,6,9,0.6,0.9,1.08,1.2,0.0,5.656,False,,0.0,5.656,촉매,촉매,촉매,1,10,5.656
컴퓨터 프로그램,11,9,2,7,False,0.0,0.0,3.1583,7,7,0.7778,0.7778,1.3534,1.0111,0.0,5.5913,False,,0.0,5.5913,컴퓨터 프로그램,컴퓨터 프로그램,컴퓨터 프로그램,1,9,5.5913
이미지,88,21,1,3,False,0.0,0.0,3.4,6,20,0.2857,0.9524,0.7028,1.4524,0.0,5.4053,False,,0.0,5.4053,이미지,이미지,이미지,1,21,5.4053
메모리,47,17,1,3,False,0.0,0.0,3.4,5,16,0.2941,0.9412,0.6529,1.4412,0.0,5.3364,False,,0.0,5.3364,메모리,메모리,메모리,1,17,5.3364
구조물,43,15,1,3,False,0.0,0.0,3.4,5,13,0.3333,0.8667,0.7,1.3,0.0,5.28,False,,0.0,5.28,구조물,구조물,구조물,1,15,5.28
양극,16,3,1,2,True,0.0,0.0,3.2417,2,3,0.6667,1.0,0.92,1.1,0.0,5.2257,False,,0.0,5.2257,양극,양극,양극,1,3,5.2257
배터리,43,12,1,3,True,0.0,0.0,3.95,10,12,0.8333,1.0,1.6,1.4,0.0,6.99,False,,1.8,5.19,배터리,배터리,배터리,1,12,5.19
RF 에너지,7,2,2,5,False,0.0,0.0,2.7167,2,2,1.0,1.0,1.32,1.0667,0.0,5.1541,False,,0.0,5.1541,RF 에너지,RF 에너지,RF 에너지,1,2,5.1541
에너지,34,14,1,3,False,0.0,0.0,3.4,5,10,0.3571,0.7143,0.7285,1.0476,0.0,5.1123,False,,0.0,5.1123,에너지,에너지,에너지,1,14,5.1123
서비스,23,12,1,3,False,0.0,0.0,3.4,4,10,0.3333,0.8333,0.64,1.1666,0.0,5.1013,False,,0.0,5.1013,서비스,서비스,서비스,1,12,5.1013
유전자,23,8,1,3,False,0.0,0.0,3.2,4,7,0.5,0.875,0.84,1.1083,0.0,5.0946,False,,0.0,5.0946,유전자,유전자,유전자,1,8,5.0946
조성물,110,45,1,3,True,0.0,0.0,4.2,33,45,0.7333,1.0,1.48,1.5,0.0,7.176,False,,2.1,5.0760000000000005,조성물,조성물,조성물,1,45,5.0760000000000005
레이저,46,9,1,3,False,0.0,0.0,3.325,4,7,0.4444,0.7778,0.7733,1.0111,0.0,5.0618,False,,0.0,5.0618,레이저,레이저,레이저,1,9,5.0618
윤활유 조성물,4,2,2,6,True,0.0,0.0,2.6167,2,2,1.0,1.0,1.32,1.0667,0.0,5.0541,False,,0.0,5.0541,윤활유 조성물,윤활유 조성물,윤활유 조성물,1,2,5.0541
접착제,16,6,1,3,False,0.0,0.0,2.8167,4,6,0.6667,1.0,1.04,1.2,0.0,5.0247,False,,0.0,5.0247,접착제,접착제,접착제,1,6,5.0247
어셈블리,19,8,1,4,False,0.0,0.0,3.2,3,8,0.375,1.0,0.63,1.2667,0.0,4.9694,False,,0.0,4.9694,어셈블리,어셈블리,어셈블리,1,8,4.9694
카메라,33,14,1,3,False,0.0,0.0,3.4,2,14,0.1429,1.0,0.2915,1.4667,0.0,4.9232,False,,0.0,4.9232,카메라,카메라,카메라,1,14,4.9232
억제제,14,6,1,3,False,0.0,0.0,2.6833,4,6,0.6667,1.0,1.04,1.2,0.0,4.8913,False,,0.0,4.8913,억제제,억제제,억제제,1,6,4.8913
메탄올,20,2,1,3,False,0.0,0.0,2.45,2,2,1.0,1.0,1.32,1.0667,0.0,4.8874,False,,0.0,4.8874,메탄올,메탄올,메탄올,1,2,4.8874
방사선,21,8,1,3,False,0.0,0.0,3.2,3,7,0.375,0.875,0.63,1.1083,0.0,4.8426,False,,0.0,4.8426,방사선,방사선,방사선,1,8,4.8426
음극,10,3,1,2,True,0.0,0.0,2.8417,2,3,0.6667,1.0,0.92,1.1,0.0,4.8257,False,,0.0,4.8257,음극,음극,음극,1,3,4.8257
스마트,15,5,1,3,False,0.0,0.0,2.625,4,4,0.8,0.8,1.2,0.9333,0.0,4.8116,False,,0.0,4.8116,스마트,스마트,스마트,1,5,4.8116
사용자 단말,21,8,2,5,False,0.0,0.0,3.5,2,6,0.25,0.75,0.42,0.95,0.0,4.764,False,,0.0,4.764,사용자 단말,사용자 단말,사용자 단말,1,8,4.764
